citing_assignee_organization,cpc_subclass_title,citation_count
"SUMITOMO ELECTRIC INDUSTRIES, LTD.","Printed circuits-Details-Thermal arrangements, e.g. for cooling, heating or preventing overheating-Cooling of mounted components -using means for thermal conduction connection in the thickness direction of the substrate",1
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",Processes or apparatus adapted for the manufacture or treatment of semiconductor or solid state devices or of parts thereof-Manufacture or treatment of semiconductor devices or of parts thereof-Forming layers -Forming inorganic semiconducting materials on a substrate -Deposited layers-Materials-Group 14 semiconducting materials-Silicon carbide,1
"SUMITOMO ELECTRIC INDUSTRIES, LTD.","Semiconductor devices adapted for rectifying, amplifying, oscillating or switching, or capacitors or resistors with at least one potential-jump barrier or surface barrier, e.g. PN junction depletion layer or carrier concentration layer; Details of semiconductor bodies or of electrodes thereof; ; Multistep manufacturing processes therefor-Types of semiconductor device ; ; Multistep manufacturing processes therefor-controllable by only the electric current supplied, or only the electric potential applied, to an electrode which does not carry the current to be rectified, amplified or switched-Unipolar devices ; , e.g. field effect transistors-Field effect transistors-with field effect produced by an insulated gate -DMOS transistors, i.e. MISFETs with a channel accommodating body or base region adjoining a drain drift region -Vertical DMOS transistors, i.e. VDMOS transistors",1
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",Single-crystal growth by condensing evaporated or sublimed materials-Epitaxial-layer growth-characterised by the substrate,1
"SUMITOMO ELECTRIC INDUSTRIES, LTD.","Structural associations of a plurality of mutually-insulated electrical connecting elements, specially adapted for printed circuits, e.g. printed circuit boards [PCBs], flat or ribbon cables, or like generally planar structures, e.g. terminal strips, terminal blocks; Coupling devices specially adapted for printed circuits, flat or ribbon cables, or like generally planar structures; Terminals specially adapted for contact with, or insertion into, printed circuits, flat or ribbon cables, or like generally planar structures -Fixed connections-for rigid printed circuits or like structures-characterised by the terminals-terminals for insertion into holes-Terminals having a press fit or a compliant portion and a shank passing through a hole in the printed circuit board",1
"SUMITOMO RUBBER INDUSTRIES, LTD.","Devices for measuring, signalling, controlling, or distributing tyre pressure or temperature, specially adapted for mounting on vehicles; Arrangement of tyre inflating devices on vehicles, e.g. of pumps or of tanks; Tyre cooling arrangements-Signalling devices actuated by deformation of the tyre ; , e.g. tyre mounted deformation sensors or indirect determination of tyre deformation based on wheel speed, wheel-centre to ground distance or inclination of wheel axle-by monitoring wheel speed",1
"SUMITOMO WIRING SYSTEMS, LTD.","Printed circuits-Details-Thermal arrangements, e.g. for cooling, heating or preventing overheating-Cooling of mounted components -using means for thermal conduction connection in the thickness direction of the substrate",1
SUZUKI MOTOR CORPORATION,Superstructure ; or monocoque structure;  sub-units; Parts or details thereof not otherwise provided for -Front or rear portions -Engine compartments-Front-end modules,1
SUZUKI MOTOR CORPORATION,"Valve-gear or valve arrangements, e.g. lift-valve gear -Valve drive -Chain drive",1
SYMBOTIC LLC,"Programme-control systems -electric-Numerical control [NC], i.e. automatically operating machines, in particular machine tools, e.g. in a manufacturing environment, so as to execute positioning, movement or co-ordinated operations by means of programme data in numerical form -Structure of the control system, e.g. common controller or multiprocessor systems, interface to servo, programmable interface controller-characterised by using several processors for different functions, distributed (real-time) systems",1
SYMBOTIC LLC,"Storing articles, individually or in orderly arrangement, in warehouses or magazines -Storage devices -mechanical-with arrangements or automatic control means for selecting which articles are to be removed-for fulfilling orders in warehouses",1
Saffil Automotive Limited,"Exhaust or silencing apparatus having means for purifying, rendering innocuous, or otherwise treating exhaust -for rendering innocuous -by thermal or catalytic conversion of noxious components of exhaust -characterised by constructional aspects of converting apparatus -Construction of catalytic reactors-Arrangements for mounting catalyst support in housing, e.g. with means for compensating thermal expansion or vibration-using mats or gaskets between catalyst body and housing-the mats or gaskets comprising two or more insulation layers",1
"Samsung Display Co., Ltd.","Control arrangements or circuits, of interest only in connection with visual indicators other than cathode-ray tubes-for presentation of an assembly of a number of characters, e.g. a page, by composing the assembly by combination of individual elements arranged in a matrix ; no fixed position being assigned to or needed to be assigned to the individual characters or partial characters",1
Sanden Holdings Corporation,"Compression machines, plant, or systems, using turbines, e.g. gas turbines-as expanders",1
Sanden Holdings Corporation,"Heating, cooling or ventilating ; [HVAC];  devices -Control systems or circuits; Control members or indication devices for heating, cooling or ventilating devices -Control systems or circuits characterised by their output, for controlling particular components of the heating, cooling or ventilating installation-the components being temperature regulating devices-Controlling the flow of liquid in a heat pump system",1
Sanden Holdings Corporation,"Heating, cooling or ventilating ; [HVAC];  devices -Control systems or circuits; Control members or indication devices for heating, cooling or ventilating devices -Control systems or circuits characterised by their output, for controlling particular components of the heating, cooling or ventilating installation-the components being temperature regulating devices-Controlling the flow of liquid in a heat pump system -where the flow direction of the refrigerant does not change and there is an extra subcondenser, e.g. in an air duct",1
